method,n_target,t,n_steps,novelty,fit,latent_dim,image_dim
dode,10,1.0,20.0,0.0006826070020906627,0.1733149141073227,32,1024
x_t,20,0.5,,2.908824920654297,2.759661912918091,32,1024
euler,20,0.5,,0.7110034227371216,0.40576404333114624,32,1024
x_t,20,0.6,,2.3583076000213623,2.2065072059631348,32,1024
euler,20,0.6,,0.4624582529067993,0.25163042545318604,32,1024
x_t,20,0.7,,1.8235989809036255,1.6865968704223633,32,1024
euler,20,0.7,,0.23992736637592316,0.18648162484169006,32,1024
x_t,20,0.8,,1.231567144393921,1.140430212020874,32,1024
euler,20,0.8,,0.07261315733194351,0.1803288459777832,32,1024
x_t,20,0.9,,0.6109053492546082,0.58976149559021,32,1024
euler,20,0.9,,0.007325307000428438,0.1785547435283661,32,1024
x_t,20,0.95,,0.3066067397594452,0.3365401029586792,32,1024
euler,20,0.95,,0.0005024406709708273,0.17715121805667877,32,1024
x_t,20,0.96,,0.24613694846630096,0.2901834547519684,32,1024
euler,20,0.96,,0.0004843914648517966,0.17737974226474762,32,1024
x_t,20,0.97,,0.18340161442756653,0.24509969353675842,32,1024
euler,20,0.97,,0.00045661782496608794,0.1777370125055313,32,1024
x_t,20,0.98,,0.12252576649188995,0.20882070064544678,32,1024
euler,20,0.98,,0.00047535475459881127,0.1752810776233673,32,1024
x_t,20,0.99,,0.06157089024782181,0.1851053088903427,32,1024
euler,20,0.99,,0.0004978435463272035,0.17679958045482635,32,1024
x_t,20,0.995,,0.030721459537744522,0.17687472701072693,32,1024
euler,20,0.995,,0.0005125908646732569,0.17472663521766663,32,1024
dode,20,1.0,2.0,0.6366308331489563,0.48206067085266113,32,1024
dode,20,1.0,4.0,0.17183136940002441,0.18687334656715393,32,1024
dode,20,1.0,6.0,0.0654732808470726,0.17387889325618744,32,1024
dode,20,1.0,8.0,0.0357031375169754,0.17840449512004852,32,1024
dode,20,1.0,10.0,0.013121112249791622,0.17724256217479706,32,1024
dode,20,1.0,12.0,0.0008824739488773048,0.176813006401062,32,1024
dode,20,1.0,14.0,0.003884688252583146,0.1756066083908081,32,1024
dode,20,1.0,16.0,0.005761031527072191,0.17640861868858337,32,1024
dode,20,1.0,18.0,0.0004706786130554974,0.1744479089975357,32,1024
dode,20,1.0,20.0,0.00043887257925234735,0.175739586353302,32,1024
x_t,50,0.5,,2.85197114944458,2.751124382019043,32,1024
euler,50,0.5,,0.7239747643470764,0.43884962797164917,32,1024
x_t,50,0.6,,2.3222973346710205,2.2104501724243164,32,1024
euler,50,0.6,,0.5124663710594177,0.26665157079696655,32,1024
x_t,50,0.7,,1.7953013181686401,1.6847037076950073,32,1024
euler,50,0.7,,0.29897791147232056,0.19496746361255646,32,1024
x_t,50,0.8,,1.2187265157699585,1.1342225074768066,32,1024
euler,50,0.8,,0.10620355606079102,0.18501168489456177,32,1024
x_t,50,0.9,,0.6140015125274658,0.5881713628768921,32,1024
euler,50,0.9,,0.019676657393574715,0.17783813178539276,32,1024
x_t,50,0.95,,0.3090151250362396,0.3359454572200775,32,1024
euler,50,0.95,,0.004791645333170891,0.18154293298721313,32,1024
x_t,50,0.96,,0.24754348397254944,0.2892858684062958,32,1024
euler,50,0.96,,0.0031963931396603584,0.1832062304019928,32,1024
x_t,50,0.97,,0.18476535379886627,0.24818973243236542,32,1024
euler,50,0.97,,0.0012772914487868547,0.18189126253128052,32,1024
x_t,50,0.98,,0.12321532517671585,0.2119462490081787,32,1024
euler,50,0.98,,0.0005836611380800605,0.17957204580307007,32,1024
x_t,50,0.99,,0.0621480755507946,0.18988369405269623,32,1024
euler,50,0.99,,0.0005864592967554927,0.1807486116886139,32,1024
x_t,50,0.995,,0.03069712221622467,0.1829340010881424,32,1024
euler,50,0.995,,0.00059780094306916,0.18070755898952484,32,1024
dode,50,1.0,2.0,0.5995845198631287,0.463832288980484,32,1024
dode,50,1.0,4.0,0.21601611375808716,0.20582732558250427,32,1024
dode,50,1.0,6.0,0.09039456397294998,0.18257836997509003,32,1024
dode,50,1.0,8.0,0.0406038798391819,0.1820383369922638,32,1024
dode,50,1.0,10.0,0.018779924139380455,0.18007543683052063,32,1024
dode,50,1.0,12.0,0.013697520829737186,0.1819617599248886,32,1024
dode,50,1.0,14.0,0.010546681471168995,0.18111376464366913,32,1024
dode,50,1.0,16.0,0.005638699512928724,0.18477724492549896,32,1024
dode,50,1.0,18.0,0.007352982182055712,0.1793144941329956,32,1024
dode,50,1.0,20.0,0.00594839733093977,0.18029965460300446,32,1024
x_t,100,0.5,,2.810814619064331,2.743723154067993,32,1024
euler,100,0.5,,0.6404378414154053,0.4049639105796814,32,1024
x_t,100,0.6,,2.284879684448242,2.208287239074707,32,1024
euler,100,0.6,,0.49742889404296875,0.2596554458141327,32,1024
x_t,100,0.7,,1.7498223781585693,1.6650253534317017,32,1024
euler,100,0.7,,0.32247674465179443,0.18401508033275604,32,1024
x_t,100,0.8,,1.2012873888015747,1.1277621984481812,32,1024
euler,100,0.8,,0.14674672484397888,0.16681455075740814,32,1024
x_t,100,0.9,,0.6113706231117249,0.585017740726471,32,1024
euler,100,0.9,,0.027393382042646408,0.1645256131887436,32,1024
x_t,100,0.95,,0.308154433965683,0.32573601603507996,32,1024
euler,100,0.95,,0.0032096116337925196,0.16452036798000336,32,1024
x_t,100,0.96,,0.24551117420196533,0.2792617082595825,32,1024
euler,100,0.96,,0.0005638917209580541,0.16603444516658783,32,1024
x_t,100,0.97,,0.18418900668621063,0.2365296185016632,32,1024
euler,100,0.97,,0.00040719995740801096,0.16614441573619843,32,1024
x_t,100,0.98,,0.1222737655043602,0.2003483772277832,32,1024
euler,100,0.98,,0.00039215385913848877,0.16650661826133728,32,1024
x_t,100,0.99,,0.061290349811315536,0.17217320203781128,32,1024
euler,100,0.99,,0.0003890523803420365,0.1632966846227646,32,1024
x_t,100,0.995,,0.030618231743574142,0.16523875296115875,32,1024
euler,100,0.995,,0.0003875721013173461,0.16327647864818573,32,1024
dode,100,1.0,2.0,0.5439789295196533,0.4280644655227661,32,1024
dode,100,1.0,4.0,0.2310638427734375,0.2001161128282547,32,1024
dode,100,1.0,6.0,0.10340788215398788,0.17086230218410492,32,1024
dode,100,1.0,8.0,0.06258855015039444,0.1635008156299591,32,1024
dode,100,1.0,10.0,0.0376146025955677,0.1657763123512268,32,1024
dode,100,1.0,12.0,0.024145392701029778,0.16496232151985168,32,1024
dode,100,1.0,14.0,0.01594160869717598,0.16296064853668213,32,1024
dode,100,1.0,16.0,0.011276044882833958,0.16332517564296722,32,1024
dode,100,1.0,18.0,0.0073112440295517445,0.1648099720478058,32,1024
dode,100,1.0,20.0,0.0061055500991642475,0.1632653921842575,32,1024
x_t,300,0.5,,2.790961742401123,2.7559406757354736,32,1024
euler,300,0.5,,0.581689178943634,0.4381861090660095,32,1024
x_t,300,0.6,,2.2509939670562744,2.2094476222991943,32,1024
euler,300,0.6,,0.44003137946128845,0.2658945918083191,32,1024
x_t,300,0.7,,1.729772925376892,1.6827665567398071,32,1024
euler,300,0.7,,0.3296411633491516,0.18829654157161713,32,1024
x_t,300,0.8,,1.187232494354248,1.1346830129623413,32,1024
euler,300,0.8,,0.18989711999893188,0.16663508117198944,32,1024
x_t,300,0.9,,0.6077901721000671,0.5848538279533386,32,1024
euler,300,0.9,,0.04137178882956505,0.1680530607700348,32,1024
x_t,300,0.95,,0.307201087474823,0.3254843056201935,32,1024
euler,300,0.95,,0.007398734800517559,0.16667155921459198,32,1024
x_t,300,0.96,,0.24531297385692596,0.2782396078109741,32,1024
euler,300,0.96,,0.004282863810658455,0.16817033290863037,32,1024
x_t,300,0.97,,0.1850069761276245,0.23671573400497437,32,1024
euler,300,0.97,,0.0024738069623708725,0.16654439270496368,32,1024
x_t,300,0.98,,0.12321154028177261,0.2005341500043869,32,1024
euler,300,0.98,,0.000738476519472897,0.1677083820104599,32,1024
x_t,300,0.99,,0.06156536191701889,0.1780027449131012,32,1024
euler,300,0.99,,0.0006973283016122878,0.16993597149848938,32,1024
x_t,300,0.995,,0.030858078971505165,0.16925203800201416,32,1024
euler,300,0.995,,0.0007125217234715819,0.1675831377506256,32,1024
dode,300,1.0,2.0,0.47834810614585876,0.3894716799259186,32,1024
dode,300,1.0,4.0,0.2190026491880417,0.19402341544628143,32,1024
dode,300,1.0,6.0,0.1285046488046646,0.17692594230175018,32,1024
dode,300,1.0,8.0,0.07714802771806717,0.16728755831718445,32,1024
dode,300,1.0,10.0,0.046174123883247375,0.1667296141386032,32,1024
dode,300,1.0,12.0,0.033621810376644135,0.16682536900043488,32,1024
dode,300,1.0,14.0,0.021578699350357056,0.16723814606666565,32,1024
dode,300,1.0,16.0,0.016890225932002068,0.1653536558151245,32,1024
dode,300,1.0,18.0,0.011708956211805344,0.16738829016685486,32,1024
dode,300,1.0,20.0,0.010418102145195007,0.16387352347373962,32,1024
x_t,600,0.5,,2.7755839824676514,2.752582311630249,32,1024
euler,600,0.5,,0.5315364003181458,0.4287208020687103,32,1024
x_t,600,0.6,,2.2502996921539307,2.222764015197754,32,1024
euler,600,0.6,,0.3978055417537689,0.2655949592590332,32,1024
x_t,600,0.7,,1.7166725397109985,1.6834454536437988,32,1024
euler,600,0.7,,0.3070477247238159,0.19338014721870422,32,1024
x_t,600,0.8,,1.1665353775024414,1.1294258832931519,32,1024
euler,600,0.8,,0.2004954218864441,0.17354905605316162,32,1024
x_t,600,0.9,,0.605039119720459,0.5857136845588684,32,1024
euler,600,0.9,,0.0551014244556427,0.16514575481414795,32,1024
x_t,600,0.95,,0.3086027204990387,0.3284570872783661,32,1024
euler,600,0.95,,0.009474135003983974,0.1645595133304596,32,1024
x_t,600,0.96,,0.24545079469680786,0.2799508571624756,32,1024
euler,600,0.96,,0.005267272237688303,0.16678564250469208,32,1024
x_t,600,0.97,,0.18522730469703674,0.23921945691108704,32,1024
euler,600,0.97,,0.003054484026506543,0.16734473407268524,32,1024
